Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
530844;18932;1964;-232;-12106;-173;1040;14740;-1216;32767;21;400;16;;;;;;;;
532879;18968;2132;-312;-12119;-159;881;14680;-1248;32767;40;397;33;;;;;;;;
535499;18828;2192;-336;-12146;-173;866;14812;-1260;32767;41;392;19;;;;;;;;
537521;18876;2156;-356;-12152;-168;912;14720;-1200;32767;25;391;27;;;;;;;;
539541;18972;2180;-312;-12188;-160;940;14664;-1232;32767;49;373;39;;;;;;;;
541839;18912;2004;-240;-11980;-178;889;14656;-1180;32767;27;375;47;;;;;;;;
543860;19008;1892;-244;-12171;-170;848;14668;-1264;32767;59;375;46;;;;;;;;
545880;18892;2236;-380;-12111;-147;834;14700;-1252;32767;41;391;31;;;;;;;;
548207;18780;1904;-420;-12047;-177;872;14704;-1288;32767;50;380;35;;;;;;;;
550227;18916;2340;-348;-12092;-181;1017;14736;-1232;32767;40;378;62;;;;;;;;
552248;18780;2212;-376;-12014;-155;813;14648;-1296;32767;36;389;21;;;;;;;;
554440;18960;2380;-408;-12169;-157;990;14720;-1288;32767;44;381;28;;;;;;;;
556465;18932;2148;-408;-12081;-185;897;14732;-1344;32767;44;385;55;;;;;;;;
558486;18908;2236;-312;-12044;-193;1005;14776;-1324;32767;39;389;24;;;;;;;;
560617;18888;2068;-324;-12060;-161;934;14740;-1196;32767;27;400;17;;;;;;;;
562639;18840;2112;-208;-12111;-155;894;14712;-1292;32767;65;417;10;;;;;;;;
564659;18832;2300;-240;-12147;-174;905;14684;-1288;32767;47;408;36;;;;;;;;
566823;18808;2348;-252;-12037;-174;850;14768;-1252;32767;39;407;19;;;;;;;;
568859;18812;1980;-292;-11988;-172;884;14688;-1272;32767;40;402;17;;;;;;;;
570881;18828;2200;-376;-12024;-185;828;14664;-1240;32767;19;394;29;;;;;;;;
573526;18920;2180;-376;-12107;-185;1007;14700;-1256;32767;47;406;28;;;;;;;;
575546;18908;1948;-192;-12120;-171;859;14644;-1212;32767;41;392;23;;;;;;;;
577567;18968;2396;-300;-12133;-156;949;14752;-1216;32767;27;383;36;;;;;;;;
579743;18892;2132;-268;-12147;-187;909;14720;-1220;32767;49;385;37;;;;;;;;
581764;18800;2264;-248;-12156;-165;966;14716;-1176;32767;23;389;61;;;;;;;;
583789;18904;2108;-364;-12117;-185;956;14676;-1236;32767;54;382;43;;;;;;;;
586025;18852;2164;-296;-12032;-186;884;14688;-1236;32767;52;408;28;;;;;;;;
588047;18856;2428;-272;-12155;-194;902;14712;-1244;32767;49;396;22;;;;;;;;
590067;18900;2276;-204;-11970;-186;850;14688;-1304;32767;37;385;39;;;;;;;;
592230;18832;2112;-356;-12052;-178;874;14728;-1188;32767;54;390;30;;;;;;;;
594250;18928;2092;-340;-12142;-142;966;14696;-1224;32767;26;390;34;;;;;;;;
596272;18860;2092;-356;-12001;-173;848;14772;-1236;32767;39;384;42;;;;;;;;
598448;18928;2352;-484;-11960;-165;924;14736;-1256;32767;31;389;23;;;;;;;;
600468;18864;1988;-380;-12049;-181;823;14736;-1248;32767;50;384;39;;;;;;;;
602489;18764;2304;-236;-12100;-161;916;14696;-1208;32767;39;370;19;;;;;;;;
604661;18888;2108;-324;-12114;-164;815;14680;-1264;32767;35;393;19;;;;;;;;
606683;18860;1940;-336;-12139;-171;854;14688;-1224;32767;48;387;44;;;;;;;;
608703;18956;1940;-332;-12134;-156;885;14724;-1220;32767;49;409;41;;;;;;;;
610876;18956;2068;-284;-12051;-173;967;14736;-1268;32767;53;399;40;;;;;;;;
612901;18900;2328;-440;-11898;-184;899;14796;-1192;32767;44;389;38;;;;;;;;
614921;19016;1936;-356;-11987;-184;997;14808;-1252;32767;38;395;21;;;;;;;;
617068;18780;2152;-364;-12063;-163;997;14728;-1284;32767;35;394;14;;;;;;;;
619088;18852;2280;-340;-11979;-180;911;14732;-1244;32767;39;384;22;;;;;;;;
