Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
507971;17844;-1076;-3252;-12789;1358;977;13192;-3644;32767;-2303;1983;3795;0;48.845413;2.357083;75;3;93;6;160;
510008;18008;928;-2424;-11984;869;1005;12700;-1548;32767;69;1526;543;0;48.845409;2.357089;79;1;93;6;160;
512810;20844;-1280;5428;-3888;-10210;511;18296;-3200;32767;29908;-8974;-10319;0;48.845409;2.357089;79;1;93;6;160;
514847;17488;-708;2740;-12034;-540;944;13764;-3456;32767;154;-42;1312;0;48.845409;2.357089;79;1;93;6;160;
516888;19716;640;-1588;-13687;924;780;15220;-2076;32767;-7037;1148;-1227;0;48.845398;2.357110;89;0;19;5;230;
519403;13040;-1176;-880;-10551;-165;820;8052;-4064;32767;5167;335;-3638;0;48.845398;2.357110;89;0;19;5;230;
521440;18468;-2184;-368;-12373;641;1014;13436;-4896;32767;-914;1230;1464;0;48.845398;2.357110;89;0;19;5;230;
523477;16284;1740;-552;-11866;1263;803;11552;-636;32767;426;1816;-748;0;48.845402;2.357109;88;1;19;5;230;
526220;21768;1292;-844;-11511;3745;932;17004;-952;32767;1866;4307;359;0;48.845402;2.357109;88;1;19;5;230;
528260;20644;5324;-2388;-11136;-44;982;15712;2612;32767;3601;585;1228;0;48.845402;2.357109;88;1;19;5;230;
530296;15592;1692;-2560;-12415;3664;1035;10604;-992;32767;-1535;4313;1377;0;;;;;;;;
532477;18736;-148;-2196;-12961;2206;812;13280;-2740;32767;-4346;2435;-1328;0;;;;;;;;
534502;18900;3516;-1644;-11628;-847;902;14144;1196;32767;1208;-224;19;0;;;;;;;;
536527;18316;2908;-3280;-11974;107;879;13252;92;32767;-36;661;387;0;;;;;;;;
538970;19100;3424;300;-14077;701;746;14812;1004;32767;-8468;864;-1159;0;;;;;;;;
541000;20236;2276;-2240;-10829;-3338;675;15532;-232;32767;3791;-2668;-4709;0;;;;;;;;
543025;20760;4040;-2560;-11417;-1738;606;15916;1592;32767;1964;-1168;-3731;0;;;;;;;;
545504;18312;2800;-1336;-12900;-1739;978;13492;-32;32767;-3287;-1330;789;0;;;;;;;;
547529;17724;4128;-360;-16956;1988;1048;13144;1776;32767;-18276;1992;5873;0;;;;;;;;
549554;18756;2328;-492;-12001;-149;831;14376;-424;32767;58;387;53;0;;;;;;;;
552173;18892;2360;-436;-12008;-164;925;14292;-332;32767;57;392;32;0;;;;;;;;
554214;18856;2292;-488;-12112;-177;889;14316;-432;32767;58;368;44;0;;;;;;;;
556240;19252;2028;-2248;-11977;-282;865;12768;-460;32767;62;309;87;0;;;;;;;;
558569;18964;2140;-356;-12076;-176;965;14384;-388;32767;57;359;57;0;;;;;;;;
560594;18832;2296;-296;-11998;-176;936;14368;-388;32767;46;385;55;0;;;;;;;;
562619;18948;2340;-432;-12084;-151;855;14356;-340;32767;62;380;28;0;;;;;;;;
565369;18836;2232;-220;-11934;-176;887;14300;-372;32767;56;385;33;0;;;;;;;;
567394;18884;2028;-412;-12010;-184;841;14284;-396;32767;49;389;29;0;;;;;;;;
569422;18944;2112;-492;-12081;-184;855;14364;-364;32767;48;384;16;0;;;;;;;;
571794;18964;2080;-492;-12009;-167;952;14380;-404;32767;49;407;38;0;;;;;;;;
573819;18912;2344;-244;-12080;-163;1010;14404;-360;32767;46;369;35;0;;;;;;;;
575844;18832;2224;-352;-12071;-179;785;14336;-400;32767;62;369;37;0;;;;;;;;
578296;19784;2292;-852;-11943;-610;950;15100;-400;32767;440;-295;12;0;;;;;;;;
580321;20592;1096;184;-12902;-910;782;16364;-1128;32767;-3150;-485;-628;0;;;;;;;;
582351;18468;1756;-3136;-12274;3867;952;13620;-712;32767;-1312;4430;995;0;;;;;;;;
584776;17096;-1048;-2408;-13983;3127;604;12880;-3720;32767;-8207;3392;-3582;0;;;;;;;;
586801;18932;2188;-452;-12130;-151;918;14344;-408;32767;42;396;23;0;;;;;;;;
588826;18924;2288;-452;-12069;-161;885;14364;-448;32767;54;369;51;0;;;;;;;;
591172;18944;2108;-332;-12001;-203;957;14288;-376;32767;31;390;22;0;;;;;;;;
593197;18972;2124;-496;-12010;-179;863;14352;-416;32767;61;376;30;0;;;;;;;;
595222;18888;2144;-300;-11999;-196;919;14348;-392;32767;56;371;38;0;;;;;;;;
597577;18872;2348;-344;-11959;-169;857;14292;-340;32767;51;357;31;0;;;;;;;;
599602;18912;2172;-284;-11991;-181;894;14368;-352;32767;63;401;34;0;;;;;;;;
601627;18804;2180;-120;-12042;-181;965;14332;-340;32767;45;403;45;0;;;;;;;;
